City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Anqing,CN,2021-04-13 19:23:47,30.5092,117.0506,58.21,90,100,9.48
68,Cape Town,ZA,2021-04-13 19:21:43,-33.9258,18.4232,66.99,94,75,12.66
69,Christchurch,NZ,2021-04-13 19:23:48,-43.5333,172.6333,51.01,93,90,2.3
70,Yellowknife,CA,2021-04-13 19:23:48,62.456,-114.3525,35.01,69,75,13.8
71,Nsanje,MW,2021-04-13 19:23:48,-16.92,35.262,70.43,95,100,2.66
72,Severo-Kurilsk,RU,2021-04-13 19:23:49,50.6789,156.125,37.04,91,100,13.18
73,Mucurapo,TT,2021-04-13 19:23:49,10.6667,-61.5333,89.6,62,40,10.36
74,Fukuma,JP,2021-04-13 19:23:49,33.7667,130.4667,53.6,62,100,6.91
75,Dikson,RU,2021-04-13 19:23:50,73.5069,80.5464,2.55,94,100,12.53
76,Chuy,UY,2021-04-13 19:23:50,-33.6971,-53.4616,70.59,56,0,3.71
77,Isangel,VU,2021-04-13 19:23:50,-19.55,169.2667,78.3,85,8,4.79
78,Huarmey,PE,2021-04-13 19:23:50,-10.0681,-78.1522,72.37,77,100,9.48
79,Castro,BR,2021-04-13 19:23:10,-24.7911,-50.0119,69.3,72,96,3.18
80,Goure,NE,2021-04-13 19:22:06,13.9835,10.2704,91.99,4,0,3.0
81,Sambava,MG,2021-04-13 19:23:51,-14.2667,50.1667,75.87,90,100,9.71
82,Mar Del Plata,AR,2021-04-13 19:23:51,-38.0023,-57.5575,78.8,41,0,5.75
83,Vardo,NO,2021-04-13 19:23:52,70.3705,31.1107,28.4,74,0,8.05
84,Manggar,ID,2021-04-13 19:23:52,-2.8833,108.2667,78.6,81,100,3.98
85,Madaoua,NE,2021-04-13 19:23:52,14.073,5.96,90.82,5,0,9.62
86,Fare,PF,2021-04-13 19:23:53,-16.7,-151.0167,82.36,69,93,12.77
87,Qaanaaq,GL,2021-04-13 19:23:53,77.484,-69.3632,-3.53,97,95,5.1
88,Tessalit,ML,2021-04-13 19:23:53,20.1986,1.0114,95.67,7,89,6.53
89,Awbari,LY,2021-04-13 19:23:53,26.5921,12.7805,82.24,11,6,9.48
90,Labuhan,ID,2021-04-13 19:23:54,-6.8844,112.2051,77.49,85,10,3.71
91,Emerald,AU,2021-04-13 19:23:54,-23.5333,148.1667,60.8,88,0,4.61
92,Polunochnoye,RU,2021-04-13 19:23:55,60.8697,60.4153,46.33,76,100,12.37
93,Bathsheba,BB,2021-04-13 19:23:55,13.2167,-59.5167,84.2,65,40,13.8
94,Makkaveyevo,RU,2021-04-13 19:23:55,51.7533,113.9454,33.8,60,100,6.71
95,Nguruka,TZ,2021-04-13 19:23:56,-5.1092,31.0419,65.59,92,83,1.48
96,San Felipe,VE,2021-04-13 19:23:56,10.3399,-68.7425,93.22,41,100,7.34
97,Acari,PE,2021-04-13 19:23:56,-15.4311,-74.6158,81.5,52,96,9.48
98,Talnakh,RU,2021-04-13 19:23:57,69.4865,88.3972,23.74,95,100,14.18
99,Voznesenye,RU,2021-04-13 19:23:57,61.0106,35.4781,43.39,96,100,4.16
100,Centralia,US,2021-04-13 19:23:57,46.7162,-122.9543,60.01,21,1,8.05
101,Kaitangata,NZ,2021-04-13 19:23:58,-46.2817,169.8464,52.07,93,100,8.52
102,Tuktoyaktuk,CA,2021-04-13 19:23:58,69.4541,-133.0374,15.8,79,20,4.61
103,Zelenoborskiy,RU,2021-04-13 19:23:58,66.845,32.3622,30.99,100,100,11.52
104,Qeshm,IR,2021-04-13 19:23:59,26.9581,56.2719,82.4,74,40,9.22
105,Abashiri,JP,2021-04-13 19:23:59,44.0213,144.2697,39.6,95,30,12.91
106,Rakitovo,BG,2021-04-13 19:23:59,41.9833,24.0833,50.0,100,90,2.3
107,Ballina,AU,2021-04-13 19:24:00,-28.8667,153.5667,53.01,100,2,5.23
108,Ivanovskaya,RU,2021-04-13 19:24:00,55.2833,39.1167,53.6,54,3,8.95
109,Lascahobas,HT,2021-04-13 19:24:00,18.8294,-71.9364,86.0,70,20,13.8
110,Hurricane,US,2021-04-13 19:24:00,37.1753,-113.2899,78.01,14,1,13.02
111,Santarem,BR,2021-04-13 19:24:01,-2.4431,-54.7083,87.8,70,40,8.05
112,Vestmannaeyjar,IS,2021-04-13 19:24:01,63.4427,-20.2734,46.4,76,40,11.5
113,Thompson,CA,2021-04-13 19:24:01,55.7435,-97.8558,26.6,43,40,14.97
114,Kapaa,US,2021-04-13 19:24:02,22.0752,-159.319,75.2,60,20,13.8
115,Bubaque,GW,2021-04-13 19:24:02,11.2833,-15.8333,77.81,74,0,13.91
116,Atuona,PF,2021-04-13 19:24:02,-9.8,-139.0333,80.56,77,38,19.17
117,Port Keats,AU,2021-04-13 19:24:03,-14.25,129.55,75.9,58,11,3.71
118,Hithadhoo,MV,2021-04-13 19:24:03,-0.6,73.0833,82.99,65,100,7.81
119,Wairoa,NZ,2021-04-13 19:24:03,-39.0333,177.3667,54.0,86,0,1.99
120,Richards Bay,ZA,2021-04-13 19:24:04,-28.783,32.0377,72.14,92,100,5.19
121,Khani,GE,2021-04-13 19:24:04,41.9563,42.9566,44.6,100,90,4.61
122,Birao,CF,2021-04-13 19:24:04,10.2849,22.7882,83.35,8,73,6.76
123,Komsomolets,KZ,2021-04-13 19:24:05,53.7453,62.0708,42.44,93,0,7.49
124,Berlevag,NO,2021-04-13 19:23:09,70.8578,29.0864,28.4,59,0,10.36
125,Kavieng,PG,2021-04-13 19:24:05,-2.5744,150.7967,80.38,73,60,4.99
126,Aksarka,RU,2021-04-13 19:24:05,66.5606,67.7975,26.58,88,100,4.81
127,Hamilton,US,2021-04-13 19:20:22,39.1834,-84.5333,66.99,36,20,4.61
128,Praia Da Vitoria,PT,2021-04-13 19:24:06,38.7333,-27.0667,68.0,68,20,14.34
129,Mustasaari,FI,2021-04-13 19:24:06,63.1142,21.6822,36.0,80,20,10.36
130,Xiongyue,CN,2021-04-13 19:24:07,40.1774,122.1228,40.78,59,0,17.54
131,Te Anau,NZ,2021-04-13 19:24:07,-45.4167,167.7167,47.34,94,95,0.69
132,Karratha,AU,2021-04-13 19:24:07,-20.7377,116.8463,81.07,73,81,13.24
133,Beaupre,CA,2021-04-13 19:24:07,47.0443,-70.8953,54.0,46,5,27.63
134,Saint-Philippe,RE,2021-04-13 19:24:08,-21.3585,55.7679,78.8,73,0,4.61
135,Ambatofinandrahana,MG,2021-04-13 19:24:08,-20.55,46.8,59.45,94,100,4.23
136,Blythe,US,2021-04-13 19:24:08,33.6103,-114.5964,82.4,23,1,17.27
137,Lavrentiya,RU,2021-04-13 19:24:09,65.5833,-171.0,19.81,93,100,7.83
138,Yumen,CN,2021-04-13 19:24:09,40.2833,97.2,44.56,30,0,2.75
139,Russellville,US,2021-04-13 19:24:09,35.2784,-93.1338,72.0,46,1,9.22
140,Bathurst,AU,2021-04-13 19:24:10,-33.4166,149.5806,43.07,61,9,1.97
141,Grand Gaube,MU,2021-04-13 19:24:10,-20.0064,57.6608,79.0,80,97,5.01
142,Lima,PE,2021-04-13 19:23:41,-12.0432,-77.0282,71.6,73,20,10.36
143,Roswell,US,2021-04-13 19:23:09,34.0232,-84.3616,87.01,32,1,5.75
144,Byron Bay,AU,2021-04-13 19:23:22,-28.65,153.6167,53.01,100,0,4.16
145,Maxixe,MZ,2021-04-13 19:24:11,-23.8597,35.3472,72.36,81,0,6.51
146,Port Alfred,ZA,2021-04-13 19:24:11,-33.5906,26.891,71.92,90,9,9.19
147,Zaranj,AF,2021-04-13 19:24:11,30.9667,61.8833,80.6,19,75,11.5
148,Katsuura,JP,2021-04-13 19:24:12,35.1333,140.3,64.0,95,100,1.99
149,Varca,IN,2021-04-13 19:24:12,15.2167,73.9167,77.0,88,40,4.61
150,Tiarei,PF,2021-04-13 19:24:12,-17.5333,-149.3333,82.4,65,75,11.5
151,Paamiut,GL,2021-04-13 19:24:13,61.994,-49.6678,33.91,87,3,5.55
152,Ponta Do Sol,PT,2021-04-13 19:24:13,32.6667,-17.1,64.0,90,9,1.99
