City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,General Pico,AR,-35.6566,-63.7568,77.9,52,0,6.15,clear sky
80,Rehoboth,NA,-23.3167,17.0833,68.52,28,58,8.63,broken clouds
81,East London,ZA,-33.0153,27.9116,64.4,88,75,17.27,light rain
82,Qaanaaq,GL,77.484,-69.3632,1.53,75,9,3.22,clear sky
83,Guerrero Negro,MX,27.9769,-114.0611,65.79,50,94,17.65,overcast clouds
84,Tiksi,RU,71.6872,128.8694,-5.21,100,94,2.48,overcast clouds
85,Havelock,US,34.8791,-76.9013,72.0,64,90,11.5,light rain
86,Shambu,ET,9.5667,37.1,60.82,52,87,4.16,overcast clouds
87,Sola,VU,-13.8833,167.55,78.8,94,20,14.5,few clouds
88,Muncar,ID,-8.4333,114.3333,75.07,89,64,1.66,broken clouds
89,Prado,BR,-17.3411,-39.2208,77.34,61,59,11.39,broken clouds
90,Kapaa,US,22.0752,-159.319,77.0,65,40,9.22,scattered clouds
91,Bethel,US,41.3712,-73.414,50.0,96,100,3.0,moderate rain
92,Grootfontein,NA,-19.5667,18.1167,53.6,76,88,5.28,overcast clouds
93,Mahebourg,MU,-20.4081,57.7,77.0,94,75,8.05,moderate rain
94,Mar Del Plata,AR,-38.0023,-57.5575,75.2,57,40,8.05,scattered clouds
95,Atuona,PF,-9.8,-139.0333,81.16,66,35,19.15,scattered clouds
96,Airai,TL,-8.9266,125.4092,56.32,78,84,2.28,broken clouds
97,Agadir,MA,30.4202,-9.5982,68.0,68,20,23.02,few clouds
98,Maturin,VE,9.75,-63.1767,87.3,54,94,7.87,overcast clouds
99,Tahta,EG,26.7693,31.5021,77.0,16,0,8.05,clear sky
100,Khatanga,RU,71.9667,102.5,9.68,94,100,12.64,light snow
101,Tromso,NO,69.6496,18.957,37.4,87,75,18.41,broken clouds
102,Carnarvon,AU,-24.8667,113.6333,73.94,29,0,15.39,clear sky
103,Bluff,NZ,-46.6,168.3333,50.0,95,78,1.01,light rain
104,Barcelos,PT,41.5388,-8.6151,64.99,82,0,5.75,clear sky
105,Port Blair,IN,11.6667,92.75,82.24,74,99,5.26,overcast clouds
106,Longyearbyen,SJ,78.2186,15.6401,23.0,68,75,14.97,broken clouds
107,Seoul,KR,37.5683,126.9778,50.0,53,90,2.3,light rain
108,Hermanus,ZA,-34.4187,19.2345,66.0,76,11,5.99,few clouds
109,Kaitangata,NZ,-46.2817,169.8464,52.0,90,28,1.99,scattered clouds
110,Saskylakh,RU,71.9167,114.0833,-13.85,100,95,5.64,overcast clouds
111,Oskarshamn,SE,57.2645,16.4484,37.99,74,91,5.99,overcast clouds
112,Cidreira,BR,-30.1811,-50.2056,73.29,69,100,13.04,overcast clouds
113,Huancavelica,PE,-12.7667,-74.9833,48.65,56,77,7.61,broken clouds
114,Atherton,GB,53.5237,-2.4935,48.0,59,82,1.01,broken clouds
115,Griffith,US,41.5284,-87.4237,54.0,54,40,5.75,scattered clouds
116,Haines Junction,CA,60.7522,-137.5108,41.0,48,87,5.75,overcast clouds
117,Nikolskoye,RU,59.7035,30.7861,42.8,33,0,8.95,clear sky
